Date : 2022-01-25 19:15:54
Directory : c:\Users\1\Desktop\LMS-UI
Total : 247 files,  64752 codes, 557 comments, 748 blanks, all 66057 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| c:\Users\1\Desktop\LMS-UI\src\pages\academy\prerequisities\CreatePrerequisities.js | JavaScript |        263 |          0 |          3 |        266 |
| c:\Users\1\Desktop\LMS-UI\src\pages\academy\prerequisities\EditPrequisity.js       | JavaScript |        274 |          0 |          2 |        276 |
| c:\Users\1\Desktop\LMS-UI\src\pages\academy\prerequisities\GetPrerequisities.js    | JavaScript |        168 |          0 |          3 |        171 |
| c:\Users\1\Desktop\LMS-UI\src\pages\academy\prerequisities\ShowPrerequisities.css  | CSS        |          3 |          0 |          0 |          3 |
| c:\Users\1\Desktop\LMS-UI\src\pages\academy\prerequisities\ShowPrerequisities.js   | JavaScript |        173 |          0 |          1 |        174 |
| c:\Users\1\Desktop\LMS-UI\src\pages\academy\products\EditProduct.js                | JavaScript |        246 |          1 |          5 |        252 |
| c:\Users\1\Desktop\LMS-UI\src\pages\academy\products\NewProduct.js                 | JavaScript |        260 |          1 |          4 |        265 |
| c:\Users\1\Desktop\LMS-UI\src\pages\academy\products\Products.css                  | CSS        |         17 |          1 |          2 |         20 |
| c:\Users\1\Desktop\LMS-UI\src\pages\academy\products\Products.js                   | JavaScript |        162 |         26 |          7 |        195 |
| c:\Users\1\Desktop\LMS-UI\src\pages\academy\quiz\AvailableQuizes.js                | JavaScript |        249 |         13 |          4 |        266 |
| c:\Users\1\Desktop\LMS-UI\src\pages\academy\quiz\DoneQuizes.js                     | JavaScript |        125 |          0 |          5 |        130 |
| c:\Users\1\Desktop\LMS-UI\src\pages\academy\quiz\Quizes.css                        | CSS        |         47 |          2 |          5 |         54 |
| c:\Users\1\Desktop\LMS-UI\src\pages\academy\quiz\student\Test.js                   | JavaScript |        467 |          2 |          8 |        477 |
| c:\Users\1\Desktop\LMS-UI\src\pages\academy\quiz\student\UserPreviewQuiz.js        | JavaScript |        286 |          1 |          3 |        290 |
| c:\Users\1\Desktop\LMS-UI\src\pages\academy\quiz\teacher\CreateQuiz.css            | CSS        |         33 |          1 |          2 |         36 |
| c:\Users\1\Desktop\LMS-UI\src\pages\academy\quiz\teacher\CreateQuiz.js             | JavaScript |        461 |          0 |          8 |        469 |
| c:\Users\1\Desktop\LMS-UI\src\pages\academy\quiz\teacher\CreatedQuizes.js          | JavaScript |        196 |          0 |          3 |        199 |
| c:\Users\1\Desktop\LMS-UI\src\pages\academy\quiz\teacher\EditQuiz.js               | JavaScript |        478 |          3 |          8 |        489 |
| c:\Users\1\Desktop\LMS-UI\src\pages\academy\quiz\teacher\NewQuiz.js                | JavaScript |        492 |         97 |          5 |        594 |
| c:\Users\1\Desktop\LMS-UI\src\pages\academy\quiz\teacher\QuizPreview.js            | JavaScript |        192 |          0 |          2 |        194 |
| c:\Users\1\Desktop\LMS-UI\src\pages\academy\recipts\PaidRecipts.js                 | JavaScript |        187 |          0 |          4 |        191 |
| c:\Users\1\Desktop\LMS-UI\src\pages\academy\recipts\ReciptPreviewFail.js           | JavaScript |        206 |          0 |          3 |        209 |
| c:\Users\1\Desktop\LMS-UI\src\pages\academy\recipts\ReciptPreviewSuccess.js        | JavaScript |        205 |          0 |          2 |        207 |
| c:\Users\1\Desktop\LMS-UI\src\pages\academy\recipts\UnPaidRecipts.js               | JavaScript |        206 |          0 |          3 |        209 |
| c:\Users\1\Desktop\LMS-UI\src\pages\academy\tags\CreateTags.js                     | JavaScript |        198 |          1 |          3 |        202 |
| c:\Users\1\Desktop\LMS-UI\src\pages\academy\tags\Tags.css                          | CSS        |         11 |          0 |          1 |         12 |
| c:\Users\1\Desktop\LMS-UI\src\pages\academy\tags\Tags.js                           | JavaScript |        156 |          0 |          2 |        158 |
| c:\Users\1\Desktop\LMS-UI\src\pages\academy\tickets\NewTicket.js                   | JavaScript |        106 |          0 |          6 |        112 |
| c:\Users\1\Desktop\LMS-UI\src\pages\academy\tickets\Tickets.js                     | JavaScript |          7 |          0 |          3 |         10 |
| c:\Users\1\Desktop\LMS-UI\src\pages\academy\videoUpload\CoursePreview.css          | CSS        |         25 |          0 |          2 |         27 |
| c:\Users\1\Desktop\LMS-UI\src\pages\academy\videoUpload\CoursePreview.js           | JavaScript |        487 |          0 |          7 |        494 |
| c:\Users\1\Desktop\LMS-UI\src\pages\academy\videoUpload\CreateCourse.css           | CSS        |         40 |          1 |          5 |         46 |
| c:\Users\1\Desktop\LMS-UI\src\pages\academy\videoUpload\CreateCourse.js            | JavaScript |        332 |          9 |          7 |        348 |
| c:\Users\1\Desktop\LMS-UI\src\pages\academy\videoUpload\NewVideo.js                | JavaScript |        298 |         52 |          7 |        357 |
| c:\Users\1\Desktop\LMS-UI\src\pages\academy\videoUpload\PreviewCourseTable.js      | JavaScript |         66 |          8 |          3 |         77 |
| c:\Users\1\Desktop\LMS-UI\src\pages\academy\videoUpload\UploadedCourses.js         | JavaScript |        160 |          0 |          3 |        163 |
| c:\Users\1\Desktop\LMS-UI\src\pages\academy\videoUpload\teacher\EditVideo.js       | JavaScript |        272 |          3 |          4 |        279 |
| c:\Users\1\Desktop\LMS-UI\src\pages\academy\welcome\Welcome.js                     | JavaScript |        243 |          0 |          6 |        249 |
| c:\Users\1\Desktop\LMS-UI\src\pages\app\App.css                                    | CSS        |          0 |          0 |          1 |          1 |
| c:\Users\1\Desktop\LMS-UI\src\pages\app\App.js                                     | JavaScript |         46 |          1 |          4 |         51 |
| c:\Users\1\Desktop\LMS-UI\src\pages\app\ScreenRouter.js                            | JavaScript |        190 |          0 |         18 |        208 |
| c:\Users\1\Desktop\LMS-UI\src\pages\app\logo.svg                                   | XML        |          1 |          0 |          0 |          1 |
| c:\Users\1\Desktop\LMS-UI\src\pages\authentication\LogOut.js                       | JavaScript |         13 |          0 |          3 |         16 |
| c:\Users\1\Desktop\LMS-UI\src\pages\authentication\Login.js                        | JavaScript |        644 |         29 |         14 |        687 |
| c:\Users\1\Desktop\LMS-UI\src\pages\authentication\Signup.css                      | CSS        |         21 |          2 |          2 |         25 |
| c:\Users\1\Desktop\LMS-UI\src\pages\authentication\Signup.js                       | JavaScript |        670 |         30 |         14 |        714 |
| c:\Users\1\Desktop\LMS-UI\src\pages\landing\Appbar.js                              | JavaScript |         78 |          0 |          6 |         84 |
| c:\Users\1\Desktop\LMS-UI\src\pages\landing\FirstComponent.js                      | JavaScript |        180 |          6 |         10 |        196 |
| c:\Users\1\Desktop\LMS-UI\src\pages\landing\Landing.js                             | JavaScript |        266 |          4 |         14 |        284 |
| c:\Users\1\Desktop\LMS-UI\src\pages\landing\MobileDrawer.js                        | JavaScript |         89 |          0 |          8 |         97 |
| c:\Users\1\Desktop\LMS-UI\src\pages\landing\SecondComponent.js                     | JavaScript |        395 |         13 |         22 |        430 |
| c:\Users\1\Desktop\LMS-UI\src\redux\actions.js                                     | JavaScript |         61 |          1 |          0 |         62 |
| c:\Users\1\Desktop\LMS-UI\src\redux\reducers.js                                    | JavaScript |         25 |          0 |          2 |         27 |
| c:\Users\1\Desktop\LMS-UI\src\redux\store.js                                       | JavaScript |         13 |          0 |          3 |         16 |
| c:\Users\1\Desktop\LMS-UI\src\reportWebVitals.js                                   | JavaScript |         12 |          0 |          2 |         14 |
| c:\Users\1\Desktop\LMS-UI\src\setupTests.js                                        | JavaScript |          1 |          4 |          1 |          6 |
| c:\Users\1\Desktop\LMS-UI\src\utils\api.js                                         | JavaScript |         42 |          0 |          2 |         44 |
| c:\Users\1\Desktop\LMS-UI\src\utils\error_translator.js                            | JavaScript |         11 |          0 |          0 |         11 |
| c:\Users\1\Desktop\LMS-UI\src\utils\redux_utils.js                                 | JavaScript |         17 |          0 |          1 |         18 |
| c:\Users\1\Desktop\LMS-UI\src\utils\utils.js                                       | JavaScript |         90 |          2 |          4 |         96 |
| Total                                                                              |            |     64,752 |        557 |        748 |     66,057 |
+------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
